Manchild;Tears;Espresso;Album: Man's Best Friend
;;;
Spotify:;Spotify:;Spotify:;Spotify:
;;;
#45 Philippines;#71 Australia;#45 United Arab Emirates;#6 Philippines
#51 United Kingdom;#74 United Kingdom;#62 Worldwide;#7 Australia
#52 Australia;#89 Singapore;#75 Singapore;#8 United Kingdom
#54 Worldwide;#94 Worldwide;#97 Saudi Arabia;#8 United States
#58 United Arab Emirates;#109 Ireland;#106 Australia;#8 Worldwide
#62 Canada;#124 Canada;#117 New Zealand;#10 Canada
#65 United States;#130 United States;#139 United Kingdom;#10 Ireland
#69 New Zealand;#136 United Arab Emirates;#140 Canada;#10 New Zealand
#70 Ireland;#141 Netherlands;#159 United States;#10 Singapore
#74 Singapore;#144 New Zealand;#170 Hong Kong;#18 Netherlands
#105 Portugal;#184 Portugal;#180 Malaysia;#20 Hong Kong
#134 Netherlands;#188 Philippines;#185 Netherlands;#20 Norway
#138 Austria;;#185 Portugal;#24 Malaysia
#152 Malaysia;;#191 Switzerland;#26 Sweden
#156 Norway;;;#33 Hungary
#166 Belgium;;;#39 Austria
#174 Sweden;;;#40 Israel
#194 Saudi Arabia;;;#45 Finland
;;;#51 Belgium
;;;#51 Germany
;;;#51 Romania
;;;#54 Denmark
;;;#56 Poland
;;;#61 Slovakia
;;;#67 Switzerland
;;;#75 Czech Republic
;;;#75 Spain
;;;#77 Ukraine
;;;#80 Brazil
;;;#81 Argentina
;;;#83 Taiwan
;;;#84 Chile
;;;#97 Panama
;;;#107 Peru
;;;#111 Venezuela
;;;#115 Thailand
;;;#120 Vietnam
;;;#132 Dominican Republic
;;;#150 France
;;;#151 Kazakhstan
;;;#153 Mexico
;;;#158 South Africa
;;;#164 Indonesia
;;;#183 Italy
